city,latitude,longitude
Marslev,55.3902304,10.5213062
Sønder Felding,55.9388658,8.7828398
Errindlev,54.6670551,11.4954839
Tikøb,56.0208025,12.4518018
Hovedgård,55.9453819,9.9565056
Egernsund,54.9065871,9.6032632
Nørager,56.7065701,9.630736
Janderup Vestj,,
Bjæverskov,55.4592469,12.0283637
Thorsø,56.3012653,9.7887862
Arnhøj,55.7837323,11.8374202
Christiansfeld,55.3589729,9.4905139
Måløv,55.7473861,12.3181279
Kolind,56.3581302,10.5847907
Skørping,56.8383525,9.8913283
Dannemare,54.7604347,11.1879332
Tjæreborg,55.4643476,8.5857229
Gedsted,56.6892939,9.3334277
Vissenbjerg,55.3863025,10.1315832
Svenstrup J,56.9773211,9.8525837
Strøby,55.3833436,12.282865
Bagenkop,54.7495173,10.6751651
Almind,55.5646234,9.4907578
Borup,55.4954852,11.9832516
Ejstrupholm,55.9843819,9.2930027
Mørke,56.3345618,10.377531
Viuf,55.5857673,9.4906425
Ebberup,55.2421087,9.9736869
Allingåbro,56.4643421,10.336854
Søby Ãrø,,
Nørre Asmindrup,55.882272,11.6082052
Anholt,56.71282975,11.562026006688171
Broby,55.2547103,10.2322458
Jerslev J,57.2847448,10.0932326
Dianalund,55.5289218,11.4943548
Tunø,55.9520828,10.438164809419645
Astermarie,,
Askeby,54.9198624,12.1728877
Veflinge,55.4707843,10.1595318
Algod,,
Gørding,55.4734235,8.7999523
Hanstholm,57.1150165,8.6144947
Ruds Vedby,55.5410589,11.3793898
Sejerø,55.8869999,11.146533415331492
Kværndrup,55.1783707,10.5256048
Suldrup,56.8483838,9.7006273
Stouby,55.7030191,9.7900425
Vrå,57.3532646,9.9452931
Redsted M,56.7394114,8.6528944
Bække,55.5702937,9.1377573
Vestbjerg,57.1305808,9.9666992
Kalvehave,54.9977367,12.1631205
Kvistgård,55.9899825,12.4976071
Sønder Stenderup,55.4614409,9.61440834749848
Gredstedbro,55.3980215,8.7426321
Martofte,55.5435579,10.6593968
Guldborg,54.8717325,11.7447134
Harpelunde,,
Viby Sjælland,55.5497139,12.0243564
Outrup,55.7217329,8.3435414
Vemmelev,55.3626545,11.2575985
Dybvad,57.2744567,10.3611597
Gadbjerg,55.7709233,9.3208133
Stokkemarke,54.8368883,11.3647404
Sørvad,56.2623779,8.6538053
Skamby,55.519663,10.2745249
Femø,54.96935985,11.541101239702034
Lintrup,55.40964335,8.972439613346271
Gadstrup,55.5720043,12.0938444
Vils,56.7628666,8.7291569
Odense V,55.3862799,10.2200831
Bording,56.1465072,9.2753054
Stenderup,55.7914096,9.8079613
Jordrup,55.5588855,9.3119454
Lemming,56.2396476,9.5458156
Boeslunde,55.3026906,11.2649511
Branderup J,55.1220082,9.0686157
Vorbasse,55.6299331,9.0814844
Aster Assels,,
Rødkærsbro,56.3514755,9.5101207
Gesten,55.5255015,9.2028076
Frøstrup,57.0868956,8.9960835
Gedved,55.9282404,9.8469901
Borre,54.9955229,12.4487267
Dalby,55.3112964,12.063853
Søllested,54.8124093,11.2709858
Årre,55.5733106,8.6653697
Kettinge,54.6954788,11.7292711
Bjørnø,55.06262495,10.250349709274516
Klippinge,55.3486722,12.32683
Balle,56.3156204,10.8077359
Marstal,54.8558332,10.5174056
Gudme,55.149424,10.7062309
Bækmarksbro,56.4164741,8.3084214
Hejnsvig,55.693594,8.9953244
Strynø,54.904216899999994,10.610147002683757
Uldum,55.8476686,9.5867407
Sommersted,55.3191435,9.2996743
Bøvlingbjerg,56.4352017,8.2029629
Gandrup,57.0566331,10.177441
Føvling,55.4511452,8.9358021
Barsø,55.1207147,9.55854925525199
Bedsted Thy,56.8094821,8.4056568
Vandel,55.7086234,9.213503
Omø,55.1582696,11.14957989972121
Oure,55.1207773,10.72482
Stensved,54.9963766,12.0272237
Klovborg,55.9319642,9.4905654
Gjerlev J,56.5865836,10.1323032
Ranum,56.8967933,9.2296384
Agersø,55.2174327,11.184306651304228
Randbøl,55.69460155,9.247251966050172
Vesløs,57.036484,8.9716144
Fejø,54.94477765,11.401044126066182
Karby,56.75385485,8.560767009894258
Vonge,55.8613336,9.419654
Agerbæk,55.6010876,8.7984877
Nyrup,55.5427639,11.6501383
Nimtofte,56.408874,10.567359
Flemming,55.8717912,9.6612951
Bandholm,54.8364445,11.4830145
Mesinge,55.5013652,10.6487936
Lyø,55.0485516,10.149878273756968
Barrit,55.7090592,9.8969878
Hundslund,55.9153605,10.0527531
Endelave,55.7675093,10.312636430160268
Vejstrup,55.1062044,10.7114124
Gudbjerg Sydfyn,55.154655,10.667776
Hellebæk,56.0739418,12.5488104
Hovborg,55.6049888,8.9406207
Stakroge,55.8902388,8.8496958
Vesterborg,54.8567673,11.2719995
Askø,54.8934613,11.49159722103522
Randers NØ,56.4617545,10.0371476
